Dinakaran,India,1372020
Daily Thanthi,India,1324003
Hindustan Times,India,1292007
Mathrubhumi,India,1203726
Ananda Bazar Patrika,India,1185779
 Avvenire    ,Italy,106928
Corriere della Sera,Italy,489774
Corriere Sport Stadio,Italy,190422
Corriere Sport Stadio lunedì,Italy,224230
Il Fatto Quotidiano,Italy,78669
Il Giornale,Italy,183923
Il Manifesto,Italy,18978
Il Sole 24 Ore,Italy,268045
Italia Oggi,Italy,89088
La Gazzetta dello Sport,Italy,327611
La Gazzetta dello Sport lunedì,Italy,378848
La Repubblica,Italy,449150
Libero,Italy,105123
L'Unità,Italy,44450
TuttoSport,Italy,98669
TuttoSport lunedì,Italy,105773
Asahi Shimbun,Japan,7929534
Mainichi Shimbun,Japan,3551444
Nihon Keizai Shimbun,Japan,3024094
Sankei Shimbun,Japan,1624216
Yomiuri Shimbun,Japan,10018660
Berita Harian ,Malaysia,160597
Berita Minggu ,Malaysia,231231
China Press,Malaysia,160841
China Press - Night Sales,Malaysia,80459
Guang Ming Daily,Malaysia,95158
Guang Ming Daily - Night Sales,Malaysia,26317
Harian Metro ,Malaysia,378354
Kosmo ,Malaysia,172252
Kosmo Ahad ,Malaysia,176116
Makkal Osai,Malaysia,30203
Malaysian Today ,Malaysia,43666
Metro Ahad ,Malaysia,431418
Mingguan Malaysia ,Malaysia,372163
New Straits Times ,Malaysia,109341
New Sunday Times ,Malaysia,129554
Oriental Daily News ,Malaysia,103827
Sin Chew Daily,Malaysia,382578
Sin Chew Daily - Night Sales,Malaysia,20524
Sunday Star ,Malaysia,295552
The Edge,Malaysia,22729
The Star ,Malaysia,286409
Utusan Malaysia ,Malaysia,170558
AD,Netherlands,442962
De Telegraaf,Netherlands,648958
De Volkskrant,Netherlands,262183
Het Financieele Dagblad,Netherlands,63022
Nederlands Dagblad,Netherlands,30150
NRC Handelsblad,Netherlands,200723
NRC.Next,Netherlands,82338
Reformatorisch Dagblad,Netherlands,53629
Trouw,Netherlands,106440
Dziennik Gazeta Prawna,Poland,99582
Fakt Gazeta Codzienna,Poland,437060
Gazeta Podatkowa,Poland,33846
Gazeta Wyborcza,Poland,335497
Parkiet Gazeta Giełdy,Poland,8082
Przegląd Sportowy,Poland,50904
Puls Biznesu,Poland,18417
Rzeczpospolita,Poland,141125
Super Express,Poland,184035
AÇORIANO ORIENTAL,Portugal,3662
CORREIO DA MANHÃ,Portugal,129119
D. AS BEIRAS,Portugal,7441
D. DE AVEIRO,Portugal,3720
D. DE COIMBRA,Portugal,9218
D. DE LEIRIA,Portugal,2164
D. DE NOTÍCIAS,Portugal,30654
D.N.MADEIRA,Portugal,12218
D. DO MINHO,Portugal,4626
D. DO SUL,Portugal,5432
D. ECONÓMICO,Portugal,12584
DIÁRIO DE VISEU,Portugal,2213
J.DE NEGÓCIOS,Portugal,10501
J. DE NOTÍCIAS,Portugal,86497
O JOGO,Portugal,29975
OJE,Portugal,25310
PÚBLICO,Portugal,35137
RECORD,Portugal,70791
The Liberty Times,R.O.C.,667465
Apple Daily,R.O.C., n.a. 
Adevarul,Romania,133223
CANCAN,Romania,92324
Click,Romania,295314
Curierul National,Romania,4009
Evenimentul Zilei,Romania,34287
Gandul,Romania,20682
Gazeta Sporturilor,Romania,68469
Jurnalul National,Romania,77852
Libertatea,Romania,191020
PRO Sport,Romania,55915
Puterea,Romania,8832
Romania Libera,Romania,59268
Ziarul Financiar,Romania,18125
Ziarul Lumina,Romania,23737
Večernje novosti,Serbia,130278
Blic,Serbia,146231
Alo,Serbia,113666
Politika,Serbia,63355
Pravda,Serbia,19235
Press,Serbia,94158
Sportski žurnal,Serbia,21841
Berita Harian,Singapore,58772
Berita Minggu,Singapore,64154
Business Times,Singapore,34328
Lianhe Wanbao,Singapore,95613
Lianhe Zaobao,Singapore,166339
Shin Min ,Singapore,141355
Tamil Murasu,Singapore,13894
Tamil Murasu Sunday,Singapore,20523
The New Paper,Singapore,100562
The New Paper (Sunday),Singapore,124889
The Straits Times,Singapore,352003
The Sunday Times,Singapore,362611
Thumbs Up,Singapore,33731
Abc,Spain,249539
As,Spain,211553
El Mundo,Spain,284901
El País,Spain,370080
El Periódico de Catalunya,Spain,133055
La Razón,Spain,118466
La Vanguardia,Spain,200370
Marca,Spain,274581
Mundo deportivo,Spain,101101
Aftonbladet,Sweden,320200
Dagens Industri,Sweden,101700
Dagens Nyheter,Sweden,298200
Expressen inklusive GT och Kvällsposten,Sweden,286500
Svenska Dagbladet,Sweden,192800
24Heures ,Switzerland,78964
az Gesamtausgabe ,Switzerland,188232
Basler Zeitung,Switzerland,83773
Berner Zeitung BZ ,Switzerland,183647
Blick,Switzerland,215761
Corriere del Ticino,Switzerland,37092
Giornale del Popolo,Switzerland,16436
LaRegioneTicino,Switzerland,32489
"Matin Dimanche, Le",Switzerland,188053
"Matin semaine, Le",Switzerland,57894
Neue Luzerner Zeitung ,Switzerland,124242
Neue Zürcher Zeitung ,Switzerland,140906
NZZ am Sonntag,Switzerland,131901
"Sonntag, Der",Switzerland,173107
Sonntags-Blick,Switzerland,238178
SonntagsZeitung,Switzerland,188658
St. Galler Tagblatt ,Switzerland,94139
Südostschweiz ,Switzerland,125011
Südostschweiz am Sonntag ,Switzerland,52381
Tages-Anzeiger ,Switzerland,205398
"Temps, Le",Switzerland,44450
"Tribune de Genève, La",Switzerland,54068
Zentralschweiz am Sonntag ,Switzerland,109343
Daily Express,UK,659064
Daily Mirror,UK,1220566
Daily Record,UK,322138
Daily Star,UK,810106
Daily Star Sunday,UK,354022
Financial Times,UK,391657
i',UK,n.a
Independent on Sunday,UK,156256
News of the World,UK,2868928
Racing Post,UK,56353
Scotland on Sunday,UK,56528
Sunday Express,UK,565365
Sunday Herald,UK,41981
Sunday Mail,UK,387875
Sunday Mirror,UK,1127074
Sunday Post,UK,327877
The Daily Mail,UK,2107477
The Daily Telegraph,UK,672873
The Daily Mirror / Daily Record,UK,1542704
The Guardian,UK,282002
The Herald,UK,54016
The Independent,UK,183973
The Mail on Sunday,UK,1970245
The Observer,UK,326081
The People,UK,524211
The Scotsman,UK,44397
The Sun,UK,2953644
The Sunday Telegraph,UK,508603
The Sunday Times,UK,1090190
The Times,UK,493226
Wall Street Journal Europe,Europe,74608
Dublin - Evening Herald,ROI,66593
Dublin - Irish Independent - Morning,ROI,141779
Dublin - Irish Times - Morning,ROI,104159
Irish Examiner - Morning,ROI,46355
Sunday Business Post,ROI,47745
Sunday Independent,ROI,260115
Sunday World,ROI,259575
The Wall Street Journal,USA,2076707
USA Today,USA,1831814
The New York Times,USA,913850
The Washington Post,USA,562108
The National Post,Canada,164476
The Globe and Mail,Canada,306706
Al Jazirah,Saudi Arabia,128041
Gulf News,UAE,109869
Wall Street Journal Asia,Hong Kong,82811
Zaman,Turkey,774166
